 lo;la;aId;aCIId;t;cId 
 10.7084139;59.9389286;214554;214559;Gjøkungen familiebarnehage;56519 
 10.8386964;59.9086014;214990;214995;Godlia barnehage;56576 
 10.8464729;59.9106022;214822;214827;Goliaskogen barnehage;56552 
 10.8976526;59.9444914;210270;210275;Gran barnehage;55907 
 10.9010107;59.9461760;210256;210261;Gransbakken barnehage;55905 
 10.9000197;59.9450596;210242;210247;Gransletta barnehage;55903 
 10.8001549;59.8831004;218903;218908;Granstua familiebarnehage;58208 
 10.7766764;59.9547846;212076;212081;Grefsen menighetsbarnehage;56165 
 10.7956326;59.9533229;212069;212074;Grefsenlyst FUS barnehage AS;56164 
 10.7878708;59.9465471;211901;211906;Grefsentunet barnehage;56140 
 10.8601059;59.9551774;211516;211521;Grei korttidsbarnehage;56085 
 10.7019370;59.9530865;214638;214643;Grimelund familiebarnehage avd. Tennisveien;56531 
 10.6475136;59.9673596;214127;214132;Grindbakken barnehage;56458 
 10.8781258;59.9625920;211558;211563;Grorud barnehage;56091 
 10.7560143;59.9220923;211754;211759;Grünerhagen barnehage;56119 
 10.7776741;59.9323197;211691;211696;Grünerløkka åpen barnehage;56110 
 10.7619944;59.9149567;211320;211325;Grønland barnehage;56057 
 10.7598696;59.9129461;211159;211164;Grønland torg barnehage;56034 
 10.7300269;59.9205505;210893;210898;Grønneberg barnehage;55996 
 10.9232137;59.9670335;213413;213418;Gullberget barnehage;56356 
 10.7965851;59.9655996;211908;211913;Gulldalen barnehage;56141 
 10.7836063;59.9602036;212223;212228;Gullfisken familiebarnehage;56186 
 10.7922909;59.8544989;218923;218928;Gullklumpen familiebarnehage;58210 
 10.6610224;59.9207849;214043;214048;Gullungene familiebarnehage;56446 
 10.6767078;59.9598502;214085;214090;Gulspurven familiebarnehage;56452 
 10.7156782;59.9336081;210900;210905;Gydas vei barnehage;55997 
 10.8131205;59.8957689;215025;215030;Gårdstunet barnehage;56581 
 10.6433939;59.9152209;214092;214097;Hakkebakkeskogen familiebarnehage (Avd. Dr. Rustads vei);56453 
 10.6605856;59.9223441;214106;214111;Hakkebakkeskogen familiebarnehage (Avdeling Ullernveien);56455 
 10.7518140;59.9448226;212237;212242;Hakkebakkeskogen familiebarnehage (Biskop Heuchs vei);56188 
 10.7800659;59.9633632;212258;212263;Hakkebakkeskogen familiebarnehage (Daniel Walstads vei);56191 
 10.6398246;59.9534190;214561;214566;Hakkebakkeskogen familiebarnehage (Ekraveien);56520 
 10.8276335;59.9105889;214997;215002;Hakkebakkeskogen familiebarnehage (Fyrstikkbakken);56577 
 10.6803300;59.9305559;214099;214104;Hakkebakkeskogen familiebarnehage (Gullkroken);56454 
 10.7824023;59.9516322;212265;212270;Hakkebakkeskogen familiebarnehage (Kastanjeveien);56192 
 10.8853484;59.9571355;217392;217397;Hakkebakkeskogen familiebarnehage (Kirkesvingen);57840 
 10.7929665;59.9446367;212244;212249;Hakkebakkeskogen familiebarnehage (Kolderups vei 2);56189 
 10.7919769;59.9451228;212251;212256;Hakkebakkeskogen familiebarnehage (Kolderups vei 5b);56190 
 10.7757563;59.8982792;218933;218938;Hakkebakkeskogen familiebarnehage (Stamhusveien);58211 
 10.7601270;59.9582992;212230;212235;Hakkebakkeskogen familiebarnehage (Tåsenveien);56187 
 10.6415242;59.9429599;214568;214573;Hakkebakkeskogen familiebarnehage (Vækerøveien);56521 
 10.8109269;59.9022358;215004;215009;Hakkebakkeskogen familiebarnehagen (Drivhusveien);56578 
 10.6808298;59.9005746;210907;210912;Hakkespetten barnehage;55998 
 10.7881638;59.8364107;213581;213586;Hallagerbakken barnehage;56380 
 10.7915439;59.8392074;213770;213775;Hallagerstua Foreldredrevet barnehage;56407 
 10.7641709;59.9303125;211761;211766;Hallènparken barnehage;56120 
 10.6498493;59.9488947;214134;214139;Hamborg barnehage;56459 
 10.7504292;59.9624736;212090;212095;Hamborgplassen barnehage;56167 
 10.7728944;59.9252609;211747;211752;Hammerfestgata barnehage;56118 
 10.7470561;59.9201577;213091;213096;Hammersborg barnehage;56310 
 10.7171788;59.9235141;210914;210919;Hamna barnehage;55999 
 10.7610757;59.9652450;212097;212102;Hansemyra friluftsbarnehage;56168 
 10.8548497;59.8848980;214829;214834;Haraløkka barnehage;56553 
 10.7902696;59.9279426;217502;217507;Haslevangen barnehage;57880 
