 lo;la;Name 
 10.9232137;59.9670335;Gullberget barnehage;56356 
 10.7965851;59.9655996;Gulldalen barnehage;56141 
 10.7836063;59.9602036;Gullfisken familiebarnehage;56186 
 10.7922909;59.8544989;Gullklumpen familiebarnehage;58210 
 10.6610224;59.9207849;Gullungene familiebarnehage;56446 
 10.6767078;59.9598502;Gulspurven familiebarnehage;56452 
 10.7156782;59.9336081;Gydas vei barnehage;55997 
 10.8131205;59.8957689;Gårdstunet barnehage;56581 
 10.6433939;59.9152209;Hakkebakkeskogen familiebarnehage (Avd. Dr. Rustads vei);56453 
 10.6605856;59.9223441;Hakkebakkeskogen familiebarnehage (Avdeling Ullernveien);56455 
 10.7518140;59.9448226;Hakkebakkeskogen familiebarnehage (Biskop Heuchs vei);56188 
 10.7800659;59.9633632;Hakkebakkeskogen familiebarnehage (Daniel Walstads vei);56191 
 10.6398246;59.9534190;Hakkebakkeskogen familiebarnehage (Ekraveien);56520 
 10.8276335;59.9105889;Hakkebakkeskogen familiebarnehage (Fyrstikkbakken);56577 
 10.6803300;59.9305559;Hakkebakkeskogen familiebarnehage (Gullkroken);56454 
 10.7824023;59.9516322;Hakkebakkeskogen familiebarnehage (Kastanjeveien);56192 
 10.8853484;59.9571355;Hakkebakkeskogen familiebarnehage (Kirkesvingen);57840 
 10.7929665;59.9446367;Hakkebakkeskogen familiebarnehage (Kolderups vei 2);56189 
 10.7919769;59.9451228;Hakkebakkeskogen familiebarnehage (Kolderups vei 5b);56190 
 10.7757563;59.8982792;Hakkebakkeskogen familiebarnehage (Stamhusveien);58211 
 10.7601270;59.9582992;Hakkebakkeskogen familiebarnehage (Tåsenveien);56187 
 10.6415242;59.9429599;Hakkebakkeskogen familiebarnehage (Vækerøveien);56521 
 10.8109269;59.9022358;Hakkebakkeskogen familiebarnehagen (Drivhusveien);56578 
 10.6808298;59.9005746;Hakkespetten barnehage;55998 
 10.7881638;59.8364107;Hallagerbakken barnehage;56380 
 10.7915439;59.8392074;Hallagerstua Foreldredrevet barnehage;56407 
 10.7641709;59.9303125;Hallènparken barnehage;56120 
 10.6498493;59.9488947;Hamborg barnehage;56459 
 10.7504292;59.9624736;Hamborgplassen barnehage;56167 
 10.7728944;59.9252609;Hammerfestgata barnehage;56118 
 10.7470561;59.9201577;Hammersborg barnehage;56310 
 10.7171788;59.9235141;Hamna barnehage;55999 
 10.7610757;59.9652450;Hansemyra friluftsbarnehage;56168 
 10.8548497;59.8848980;Haraløkka barnehage;56553 
 10.7902696;59.9279426;Haslevangen barnehage;57880 
 10.6592888;59.9294335;Hasselkroken Kanvas-barnehage;56418 
 10.9036218;59.9488309;Haugen barnehage;55909 
